model,compute_flops,params,tokens,family,metric,score_mean,task_count,n_total
delphi-3e18-157Mparams-4.3Btokens,3e+18,157000000.0,4300000000.0,intuitive_answer,hard_acc,0.43833333333333335,1,600
delphi-3e18-157Mparams-4.3Btokens,3e+18,157000000.0,4300000000.0,multihop_persona_qa,match_rate,0.0009166666666666666,30,120
delphi-3e18-157Mparams-4.3Btokens,3e+18,157000000.0,4300000000.0,repetitive_answer,hard_acc,0.0033214285714285715,7,16000
delphi-3e18-157Mparams-4.3Btokens,3e+18,157000000.0,4300000000.0,successive_answer,hard_acc,0.28652860329811286,4,18380
delphi-3e18-157Mparams-4.3Btokens,3e+18,157000000.0,4300000000.0,truthy_answer,hard_acc,0.0013066202090592336,2,2256
delphi-3e18-210Mparams-3Btokens,3e+18,210000000.0,3000000000.0,flipped_answer,hard_acc,0.46771874999999996,8,28928
delphi-3e18-210Mparams-3Btokens,3e+18,210000000.0,3000000000.0,intuitive_answer,hard_acc,0.4816666666666667,1,600
delphi-3e18-210Mparams-3Btokens,3e+18,210000000.0,3000000000.0,multihop_persona_qa,match_rate,0.001,30,120
delphi-3e18-210Mparams-3Btokens,3e+18,210000000.0,3000000000.0,repetitive_answer,hard_acc,0.005035714285714287,7,16000
delphi-3e18-210Mparams-3Btokens,3e+18,210000000.0,3000000000.0,successive_answer,hard_acc,0.23220205996363436,4,18380
delphi-3e18-210Mparams-3Btokens,3e+18,210000000.0,3000000000.0,truthy_answer,hard_acc,0.0,2,2256
delphi-3e18-273Mparams-2.2Btokens,3e+18,273000000.0,2200000000.0,flipped_answer,hard_acc,0.4827564655172414,8,28928
